FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6260 resimTicks=2312 amplification=1.36933x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=4492 frame=23.187 sim=10.2966 route=0.0983 render=4.8751 simTicks=4 resim=2 | cmd=0.028 move=0.1276 vis=3.1034 econ=0.1164 combat=3.1677 route=2.5704 coll=3.2968 (field=0.1173 x2000 prewarm=0.0743 x0) | botsP0=463 botsP1=3 stalled=0
tick=884 frame=23.1799 sim=1.4659 route=0.0174 render=1.1303 simTicks=2 resim=0 | cmd=0.0093 move=0.0342 vis=0.1158 econ=0.0143 combat=0.6716 route=0.1221 coll=0.0968 (field=0 x0 prewarm=0.0051 x0) | botsP0=8 botsP1=3 stalled=0
tick=2760 frame=23.1611 sim=2.2536 route=0.0165 render=2.2913 simTicks=2 resim=0 | cmd=0.0127 move=0.0473 vis=0.5482 econ=0.0333 combat=0.6984 route=0.1506 coll=0.3557 (field=0 x0 prewarm=0.0051 x0) | botsP0=228 botsP1=3 stalled=0
tick=1417 frame=23.1208 sim=1.7178 route=0.0123 render=1.3311 simTicks=2 resim=0 | cmd=0.0122 move=0.039 vis=0.1139 econ=0.0196 combat=0.9315 route=0.1177 coll=0.1025 (field=0 x0 prewarm=0.005 x0) | botsP0=13 botsP1=3 stalled=0
tick=1219 frame=23.1033 sim=2.1122 route=0.0195 render=1.2835 simTicks=3 resim=0 | cmd=0.0091 move=0.039 vis=0.1605 econ=0.0272 combat=1.0437 route=0.1725 coll=0.1549 (field=0 x0 prewarm=0.0068 x0) | botsP0=8 botsP1=3 stalled=0
tick=1566 frame=23.0458 sim=1.7 route=0.0139 render=1.3911 simTicks=2 resim=0 | cmd=0.0081 move=0.0352 vis=0.1608 econ=0.0253 combat=0.8295 route=0.1217 coll=0.1198 (field=0 x0 prewarm=0.0063 x0) | botsP0=33 botsP1=3 stalled=0
tick=2923 frame=23.0437 sim=2.9458 route=0.0148 render=2.5154 simTicks=3 resim=0 | cmd=0.0083 move=0.0447 vis=0.6574 econ=0.0432 combat=0.9582 route=0.2591 coll=0.5234 (field=0 x0 prewarm=0.0094 x0) | botsP0=228 botsP1=3 stalled=0
tick=2441 frame=23.0267 sim=2.9205 route=0.0195 render=2.2534 simTicks=3 resim=0 | cmd=0.0096 move=0.0509 vis=0.6904 econ=0.0457 combat=0.9437 route=0.1968 coll=0.5113 (field=0 x0 prewarm=0.0074 x0) | botsP0=213 botsP1=3 stalled=0
tick=733 frame=23.024 sim=1.9277 route=0.0215 render=1.2148 simTicks=3 resim=1 | cmd=0.0166 move=0.0516 vis=0.2124 econ=0.0307 combat=1.2487 route=0.225 coll=0.1921 (field=0 x0 prewarm=0.0089 x0) | botsP0=4 botsP1=3 stalled=0
tick=3145 frame=22.9895 sim=2.2774 route=0.0139 render=3.4004 simTicks=2 resim=0 | cmd=0.0066 move=0.0315 vis=0.5497 econ=0.0322 combat=0.6511 route=0.1423 coll=0.4725 (field=0 x0 prewarm=0.006 x0) | botsP0=273 botsP1=3 stalled=0
tick=1454 frame=22.9577 sim=2.1498 route=0.0171 render=1.4961 simTicks=3 resim=0 | cmd=0.0139 move=0.0488 vis=0.1672 econ=0.0232 combat=1.0155 route=0.1573 coll=0.1742 (field=0 x0 prewarm=0.0071 x0) | botsP0=13 botsP1=3 stalled=0
tick=1124 frame=22.9243 sim=1.3896 route=0.0134 render=1.2235 simTicks=2 resim=0 | cmd=0.0064 move=0.0277 vis=0.1013 econ=0.0153 combat=0.685 route=0.1073 coll=0.0996 (field=0 x0 prewarm=0.006 x0) | botsP0=8 botsP1=3 stalled=0
